userId,regTime,testVariant,primaryAccount,regPage,device,app,browser,browserVersion,screenHeight,screenWidth,authMethod,locationStep,addedCity,locationCountry,addedGuestCount,addedBudget,invitedCollaborator,addedNames,finOnb,searchCTA,venEnq,venSearch,venViews,sessions
54,1.56932E+12,0,TRUE,/,Android,TRUE,Chrome,77,732,412,google.com,completed,0,,FALSE,FALSE,FALSE,TRUE,1,1,0,2,0,2
55,1.56943E+12,0,TRUE,/,iPhone,TRUE,Mobile Safari,,812,375,password,completed,0,,TRUE,FALSE,FALSE,TRUE,1,0,0,0,0,2
56,1.56924E+12,1,TRUE,/,iPhone,TRUE,Mobile Safari,,736,414,facebook.com,completed,0,,TRUE,TRUE,TRUE,TRUE,1,0,0,0,0,1
57,1.56961E+12,0,TRUE,/,Android,TRUE,Chrome,77,740,360,password,completed,1,England,TRUE,TRUE,TRUE,TRUE,1,1,0,3,1,1
58,1.56979E+12,0,TRUE,/,Android,TRUE,Chrome,77,771,360,google.com,skipped,0,,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,1
59,1.56881E+12,0,TRUE,/,iPhone,TRUE,Mobile Safari,,736,414,facebook.com,completed,1,England,TRUE,TRUE,TRUE,TRUE,1,1,0,13,11,17
60,1.56918E+12,0,TRUE,/,Android,TRUE,Chrome,77,869,412,facebook.com,completed,0,,TRUE,TRUE,TRUE,TRUE,1,1,0,8,7,12
61,1.56953E+12,0,TRUE,/,iPhone,TRUE,Mobile Safari,,812,375,facebook.com,completed,0,,FALSE,TRUE,FALSE,TRUE,1,0,0,0,0,2
62,1.56958E+12,2,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,facebook.com,completed,1,England,TRUE,FALSE,FALSE,TRUE,1,1,0,1,0,2
63,1.56968E+12,1,TRUE,/,Android,TRUE,Chrome,77,740,360,facebook.com,completed,1,Scotland,TRUE,FALSE,FALSE,TRUE,1,1,2,12,12,8
64,1.56987E+12,1,TRUE,/,iPhone,TRUE,Mobile Safari,,812,375,facebook.com,completed,1,England,TRUE,TRUE,FALSE,TRUE,1,0,2,9,6,1
65,1.56882E+12,0,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,password,completed,1,Wales,TRUE,TRUE,TRUE,TRUE,1,1,4,15,19,11
66,1.56928E+12,1,TRUE,/,Android,TRUE,Chrome,77,640,360,facebook.com,completed,1,England,TRUE,TRUE,TRUE,TRUE,1,1,7,4,5,2
67,1.56942E+12,2,TRUE,/,iPhone,TRUE,Mobile Safari,,667,375,password,completed,1,England,FALSE,FALSE,TRUE,TRUE,1,1,0,17,12,13
68,1.56987E+12,1,TRUE,/,Android,TRUE,Chrome,77,740,360,facebook.com,completed,1,England,TRUE,TRUE,TRUE,TRUE,1,1,0,6,5,1
69,1.56875E+12,0,TRUE,/,Android,TRUE,Chrome,76,869,412,password,completed,0,,TRUE,FALSE,TRUE,TRUE,1,0,0,11,7,2
